id,instrumentName,localDate,localTime,co,o3,no2,so2,no,voc,pm2p5,pm10,rh,pressure,sensorTemp,heaterTemp,internalTemp,timeRec,dateUTC,timeUTC,alarms
76376,Grootbos,2023/09/14,09:05,0.13,55.69,0.0,0.0,0.0,0.0,7.75,122.21,39.08,105.58,25.99,24.99,29.56,1694689505,2023/09/14,11:05,0x00000000
76377,Grootbos,2023/09/14,09:10,0.13,57.54,0.0,0.0,0.0,0.0,5.14,84.1,38.65,105.57,26.23,24.99,29.82,1694689805,2023/09/14,11:10,0x00000000
76378,Grootbos,2023/09/14,09:15,0.13,58.93,0.0,0.0,0.0,0.0,11.37,187.1,38.15,105.56,26.47,24.98,30.08,1694690105,2023/09/14,11:15,0x00000000
76379,Grootbos,2023/09/14,09:20,0.13,59.3,0.0,0.0,0.0,0.0,3.48,67.75,37.93,105.56,26.7,24.98,30.33,1694690405,2023/09/14,11:20,0x00000000
76380,Grootbos,2023/09/14,09:25,0.12,58.77,0.0,0.0,0.0,0.0,3.55,57.05,37.32,105.56,26.92,24.98,30.57,1694690705,2023/09/14,11:25,0x00000000
76381,Grootbos,2023/09/14,09:30,0.13,61.44,0.0,0.0,0.0,0.0,12.04,218.73,37.16,105.56,27.14,24.98,30.81,1694691005,2023/09/14,11:30,0x00000000
76382,Grootbos,2023/09/14,09:35,0.13,62.2,0.0,0.0,0.0,0.0,3.74,100.65,36.72,105.56,27.36,24.98,31.04,1694691305,2023/09/14,11:35,0x00000000
76383,Grootbos,2023/09/14,09:40,0.36,64.31,0.0,0.0,0.0,0.0,3.0,65.65,36.77,105.57,27.58,24.98,31.27,1694691605,2023/09/14,11:40,0x00000000
76384,Grootbos,2023/09/14,09:45,0.29,61.34,0.0,0.0,0.0,0.0,5.94,114.1,36.46,105.56,27.81,24.99,31.51,1694691905,2023/09/14,11:45,0x00000000
76385,Grootbos,2023/09/14,09:50,0.15,63.59,0.0,0.0,0.0,0.0,3.35,82.1,36.2,105.56,28.0,24.99,31.66,1694692205,2023/09/14,11:50,0x00000000
76386,Grootbos,2023/09/14,09:55,0.2,62.84,0.0,0.0,0.0,0.0,2.18,32.8,35.8,105.56,28.06,24.98,31.6,1694692505,2023/09/14,11:55,0x00000000
76387,Grootbos,2023/09/14,10:00,0.13,65.24,0.0,0.0,0.0,0.0,2.37,36.55,35.84,105.55,28.06,24.96,31.54,1694692805,2023/09/14,12:00,0x00000000
76388,Grootbos,2023/09/14,10:05,0.13,62.6,0.0,0.0,0.0,0.0,2.51,50.55,35.9,105.55,28.08,24.94,31.5,1694693105,2023/09/14,12:05,0x00000000
76389,Grootbos,2023/09/14,10:10,0.13,63.95,9.58,0.0,0.0,0.0,2.69,45.97,36.01,105.55,28.1,24.96,31.52,1694693405,2023/09/14,12:10,0x00000000
76390,Grootbos,2023/09/14,10:15,0.14,62.36,5.05,0.0,0.0,0.0,2.38,44.43,35.75,105.54,28.18,24.97,31.64,1694693705,2023/09/14,12:15,0x00000000
76391,Grootbos,2023/09/14,10:20,0.15,64.38,10.27,0.0,0.0,0.0,2.49,52.23,35.86,105.53,28.37,24.97,31.92,1694694005,2023/09/14,12:20,0x00000000
76392,Grootbos,2023/09/14,10:25,0.15,64.73,0.26,0.0,0.0,0.0,2.18,26.84,35.21,105.53,28.63,24.99,32.29,1694694305,2023/09/14,12:25,0x00000000
76393,Grootbos,2023/09/14,10:30,0.16,67.15,4.27,0.0,0.0,0.0,2.88,74.79,35.04,105.54,28.92,24.99,32.68,1694694605,2023/09/14,12:30,0x00000000
76394,Grootbos,2023/09/14,10:35,0.16,64.74,0.0,0.0,0.0,0.0,2.38,40.88,34.58,105.51,29.24,24.99,33.05,1694694905,2023/09/14,12:35,0x00000000
76395,Grootbos,2023/09/14,10:40,0.16,66.91,0.52,0.0,0.0,0.0,2.64,61.43,34.28,105.51,29.55,25.0,33.39,1694695205,2023/09/14,12:40,0x00000000
76396,Grootbos,2023/09/14,10:45,0.16,64.39,0.53,0.0,0.0,0.0,2.31,46.98,34.07,105.51,29.85,25.0,33.71,1694695505,2023/09/14,12:45,0x00000000
76397,Grootbos,2023/09/14,10:50,0.15,63.59,0.0,0.0,0.0,0.0,1.99,19.34,33.21,105.5,30.12,25.02,34.01,1694695805,2023/09/14,12:50,0x00000000
76398,Grootbos,2023/09/14,10:55,0.15,64.0,0.0,0.0,0.0,0.0,2.46,75.86,33.26,105.5,30.41,25.01,34.3,1694696105,2023/09/14,12:55,0x00000000
76399,Grootbos,2023/09/14,11:00,0.14,66.61,0.0,0.0,0.0,0.0,2.24,37.77,32.61,105.5,30.68,25.02,34.59,1694696405,2023/09/14,13:00,0x00000000
76400,Grootbos,2023/09/14,11:05,0.14,67.09,0.0,0.0,0.0,0.0,2.64,65.03,32.51,105.49,30.93,25.02,34.86,1694696705,2023/09/14,13:05,0x00000000
76401,Grootbos,2023/09/14,11:10,0.14,66.64,0.0,0.0,0.0,0.0,2.7,83.12,32.14,105.49,31.19,25.02,35.12,1694697005,2023/09/14,13:10,0x00000000
76402,Grootbos,2023/09/14,11:15,0.13,66.17,0.0,0.0,0.0,0.0,2.32,55.03,31.74,105.48,31.44,25.02,35.38,1694697305,2023/09/14,13:15,0x00000000
76403,Grootbos,2023/09/14,11:20,0.14,64.64,3.44,0.0,0.0,0.0,4.04,214.0,32.02,105.49,31.68,25.02,35.62,1694697605,2023/09/14,13:20,0x00000000
76404,Grootbos,2023/09/14,11:25,0.13,65.39,0.0,0.0,0.0,0.0,6.43,237.5,31.66,105.48,31.91,25.03,35.86,1694697905,2023/09/14,13:25,0x00000000
76405,Grootbos,2023/09/14,11:30,0.13,66.67,0.8,0.0,0.0,0.0,2.97,120.55,31.39,105.47,32.15,25.02,36.1,1694698205,2023/09/14,13:30,0x00000000
76406,Grootbos,2023/09/14,11:35,0.13,66.11,0.0,0.0,0.0,0.0,2.84,98.09,31.16,105.47,32.38,25.02,36.34,1694698505,2023/09/14,13:35,0x00000000
76407,Grootbos,2023/09/14,11:40,0.12,66.51,0.0,0.0,0.0,0.0,2.56,97.17,30.74,105.47,32.59,25.02,36.56,1694698805,2023/09/14,13:40,0x00000000
76408,Grootbos,2023/09/14,11:45,0.11,66.63,0.0,0.0,0.0,0.0,2.12,42.13,30.34,105.46,32.79,25.01,36.75,1694699105,2023/09/14,13:45,0x00000000
76409,Grootbos,2023/09/14,11:50,0.12,65.25,7.35,0.0,0.0,0.0,3.05,150.54,30.69,105.44,33.0,25.01,36.94,1694699405,2023/09/14,13:50,0x00000000
76410,Grootbos,2023/09/14,11:55,0.12,64.88,0.0,0.0,0.0,0.0,3.17,129.01,30.28,105.42,33.19,25.01,37.11,1694699705,2023/09/14,13:55,0x00000000
76411,Grootbos,2023/09/14,12:00,0.11,67.7,0.03,0.0,0.0,0.0,3.66,170.17,29.93,105.42,33.36,24.99,37.25,1694700005,2023/09/14,14:00,0x00000000
76412,Grootbos,2023/09/14,12:05,0.11,67.91,0.37,0.0,0.0,0.0,3.43,191.36,29.78,105.41,33.48,24.99,37.35,1694700305,2023/09/14,14:05,0x00000000
76413,Grootbos,2023/09/14,12:10,0.12,64.43,10.12,0.0,0.0,0.0,3.98,256.54,29.99,105.42,33.59,25.0,37.43,1694700605,2023/09/14,14:10,0x00000000
76414,Grootbos,2023/09/14,12:15,0.13,62.08,4.06,0.0,0.0,0.0,4.12,239.12,30.05,105.41,33.71,25.01,37.55,1694700905,2023/09/14,14:15,0x00000000
76415,Grootbos,2023/09/14,12:20,0.13,65.59,5.24,0.0,0.0,0.0,3.77,211.68,29.6,105.4,33.85,25.0,37.67,1694701205,2023/09/14,14:20,0x00000000
76416,Grootbos,2023/09/14,12:25,0.13,66.61,1.88,0.0,0.0,0.0,4.23,196.76,29.41,105.39,33.98,25.0,37.78,1694701505,2023/09/14,14:25,0x00000000
76417,Grootbos,2023/09/14,12:30,0.13,65.67,0.0,0.0,0.0,0.0,3.27,155.61,28.95,105.38,34.08,24.98,37.86,1694701805,2023/09/14,14:30,0x00000000
76418,Grootbos,2023/09/14,12:35,0.13,67.63,5.11,0.0,0.0,0.0,3.59,152.36,29.0,105.37,34.16,24.98,37.94,1694702105,2023/09/14,14:35,0x00000000
76419,Grootbos,2023/09/14,12:40,0.13,67.17,5.36,0.0,0.0,0.0,3.85,177.52,28.92,105.36,34.26,24.98,38.01,1694702405,2023/09/14,14:40,0x00000000
76420,Grootbos,2023/09/14,12:45,0.13,66.92,1.14,0.0,0.0,0.0,6.78,219.09,28.69,105.35,34.33,24.97,38.08,1694702705,2023/09/14,14:45,0x00000000
76421,Grootbos,2023/09/14,12:50,0.12,70.99,0.0,0.0,0.0,0.0,2.53,55.03,28.09,105.34,34.42,24.96,38.2,1694703005,2023/09/14,14:50,0x00000000
76422,Grootbos,2023/09/14,12:55,0.14,63.48,17.93,0.0,0.0,0.0,4.07,251.22,28.84,105.34,34.55,24.98,38.36,1694703305,2023/09/14,14:55,0x00000000
76423,Grootbos,2023/09/14,13:00,0.14,62.78,0.0,0.0,0.0,0.0,3.67,182.89,28.04,105.33,34.71,24.99,38.55,1694703605,2023/09/14,15:00,0x00000000
76424,Grootbos,2023/09/14,13:05,0.14,67.0,8.19,0.0,0.0,0.0,3.38,146.79,28.05,105.32,34.86,24.99,38.7,1694703905,2023/09/14,15:05,0x00000000
76425,Grootbos,2023/09/14,13:10,0.14,66.88,9.88,0.0,0.0,0.0,3.72,167.25,28.16,105.31,34.99,24.99,38.81,1694704205,2023/09/14,15:10,0x00000000
76426,Grootbos,2023/09/14,13:15,0.14,66.62,8.59,0.0,0.0,0.0,4.1,224.26,27.97,105.3,35.12,24.98,38.9,1694704505,2023/09/14,15:15,0x00000000
76427,Grootbos,2023/09/14,13:20,0.14,67.17,5.78,0.0,0.0,0.0,3.21,134.13,27.81,105.29,35.18,24.96,38.93,1694704805,2023/09/14,15:20,0x00000000
76428,Grootbos,2023/09/14,13:25,0.13,68.16,7.5,0.0,0.0,0.0,2.86,112.0,27.61,105.27,35.24,24.95,38.99,1694705105,2023/09/14,15:25,0x00000000
76429,Grootbos,2023/09/14,13:30,0.14,66.19,15.23,0.0,0.0,0.0,3.08,151.92,27.86,105.26,35.34,24.96,39.11,1694705405,2023/09/14,15:30,0x00000000
76430,Grootbos,2023/09/14,13:35,0.14,68.22,6.59,0.0,0.0,0.0,4.78,244.98,27.46,105.25,35.47,24.96,39.27,1694705705,2023/09/14,15:35,0x00000000
76431,Grootbos,2023/09/14,13:40,0.13,68.41,6.4,0.0,0.0,0.0,3.73,200.26,27.2,105.25,35.6,24.96,39.4,1694706005,2023/09/14,15:40,0x00000000
76432,Grootbos,2023/09/14,13:45,0.14,65.14,7.95,0.0,0.0,0.0,6.0,383.89,27.18,105.25,35.71,24.96,39.5,1694706305,2023/09/14,15:45,0x00000000
76433,Grootbos,2023/09/14,13:50,0.13,65.5,5.55,0.0,0.0,0.0,4.63,296.13,26.96,105.26,35.79,24.96,39.53,1694706605,2023/09/14,15:50,0x00000000
76434,Grootbos,2023/09/14,13:55,0.13,65.27,13.78,0.0,0.0,0.0,2.88,137.7,27.03,105.25,35.82,24.95,39.55,1694706905,2023/09/14,15:55,0x00000000
76435,Grootbos,2023/09/14,14:00,0.14,66.42,8.41,0.0,0.0,0.0,4.57,225.14,26.89,105.26,35.9,24.95,39.64,1694707205,2023/09/14,16:00,0x00000000
76436,Grootbos,2023/09/14,14:05,0.14,66.6,10.74,0.0,0.0,0.0,3.15,173.37,26.88,105.26,36.0,24.95,39.75,1694707505,2023/09/14,16:05,0x00000000
76437,Grootbos,2023/09/14,14:10,0.24,66.54,11.34,0.0,0.0,0.0,4.94,164.72,26.58,105.25,36.07,24.94,39.83,1694707805,2023/09/14,16:10,0x00000000
76438,Grootbos,2023/09/14,14:15,0.15,65.15,6.28,0.0,0.0,0.0,3.8,221.56,26.33,105.24,36.15,24.94,39.9,1694708105,2023/09/14,16:15,0x00000000
76439,Grootbos,2023/09/14,14:20,0.15,64.42,14.16,0.0,0.0,0.0,4.77,298.13,26.56,105.22,36.21,24.94,39.96,1694708405,2023/09/14,16:20,0x00000000
